StopName,ArrivalTime,DepartureTime
Faizabad,14:46:40,14:47:00
Kach Naar Park I-8,14:49:30,14:49:50
H-8,14:52:00,14:52:20
TNT,14:54:35,14:54:55
Children Hospital,14:55:00,14:55:20
PIMS Hospital,14:56:15,14:56:15
Capt. Naeem Tufail Shaheed Chow,14:30:00,14:30:00
Tamma Stop,14:31:30,14:31:50
COMSATS University,14:33:40,14:34:00
Hostel City,14:35:40,14:36:00
Gulshan Al Huda Community,14:38:00,14:38:20
Chatta Bakhtawar,14:39:55,14:40:15
Green Avenue,14:42:15,14:42:35
Park View City,14:44:05,14:44:25
Shahzad Town,14:46:55,14:47:15
N.I.H Allergy Center,14:48:50,14:49:10
N.A.R.C Colony,14:51:20,14:51:40
Rawal Dam Colony,14:52:40,14:53:00
School Board Stop,14:53:55,14:54:15
Rawal Town,14:55:45,14:56:05
Garden Avenue,14:57:45,14:58:05
Margalla Town,15:00:35,15:00:55
ITP Driving License Centre,15:03:25,15:03:45
Faizabad,15:06:40,15:07:00
Kach Naar Park I-8,15:09:30,15:09:50
H-8,15:12:00,15:12:20
TNT,15:14:35,15:14:55
Children Hospital,15:15:00,15:15:20
PIMS Hospital,15:16:15,15:16:15
Capt. Naeem Tufail Shaheed Chow,14:50:00,14:50:00
Tamma Stop,14:51:30,14:51:50
COMSATS University,14:53:40,14:54:00
Hostel City,14:55:40,14:56:00
Gulshan Al Huda Community,14:58:00,14:58:20
Chatta Bakhtawar,14:59:55,15:00:15
Green Avenue,15:02:15,15:02:35
Park View City,15:04:05,15:04:25
Shahzad Town,15:06:55,15:07:15
N.I.H Allergy Center,15:08:50,15:09:10
N.A.R.C Colony,15:11:20,15:11:40
Rawal Dam Colony,15:12:40,15:13:00
School Board Stop,15:13:55,15:14:15
Rawal Town,15:15:45,15:16:05
Garden Avenue,15:17:45,15:18:05
Margalla Town,15:20:35,15:20:55
ITP Driving License Centre,15:23:25,15:23:45
Faizabad,15:26:40,15:27:00
Kach Naar Park I-8,15:29:30,15:29:50
H-8,15:32:00,15:32:20
TNT,15:34:35,15:34:55
Children Hospital,15:35:00,15:35:20
PIMS Hospital,15:36:15,15:36:15
Capt. Naeem Tufail Shaheed Chow,15:10:00,15:10:00
Tamma Stop,15:11:30,15:11:50
COMSATS University,15:13:40,15:14:00
Hostel City,15:15:40,15:16:00
Gulshan Al Huda Community,15:18:00,15:18:20
Chatta Bakhtawar,15:19:55,15:20:15
Green Avenue,15:22:15,15:22:35
Park View City,15:24:05,15:24:25
Shahzad Town,15:26:55,15:27:15
N.I.H Allergy Center,15:28:50,15:29:10
N.A.R.C Colony,15:31:20,15:31:40
Rawal Dam Colony,15:32:40,15:33:00
School Board Stop,15:33:55,15:34:15
Rawal Town,15:35:45,15:36:05
Garden Avenue,15:37:45,15:38:05
Margalla Town,15:40:35,15:40:55
ITP Driving License Centre,15:43:25,15:43:45
Faizabad,15:46:40,15:47:00
Kach Naar Park I-8,15:49:30,15:49:50
H-8,15:52:00,15:52:20
TNT,15:54:35,15:54:55
Children Hospital,15:55:00,15:55:20
PIMS Hospital,15:56:15,15:56:15
Capt. Naeem Tufail Shaheed Chow,15:30:00,15:30:00
Tamma Stop,15:31:30,15:31:50
COMSATS University,15:33:40,15:34:00
Hostel City,15:35:40,15:36:00
Gulshan Al Huda Community,15:38:00,15:38:20
Chatta Bakhtawar,15:39:55,15:40:15
Green Avenue,15:42:15,15:42:35
Park View City,15:44:05,15:44:25
Shahzad Town,15:46:55,15:47:15
N.I.H Allergy Center,15:48:50,15:49:10
N.A.R.C Colony,15:51:20,15:51:40
Rawal Dam Colony,15:52:40,15:53:00
School Board Stop,15:53:55,15:54:15
Rawal Town,15:55:45,15:56:05
Garden Avenue,15:57:45,15:58:05
Margalla Town,16:00:35,16:00:55
ITP Driving License Centre,16:03:25,16:03:45
Faizabad,16:06:40,16:07:00
Kach Naar Park I-8,16:09:30,16:09:50
H-8,16:12:00,16:12:20
TNT,16:14:35,16:14:55
Children Hospital,16:15:00,16:15:20
