StopName,ArrivalTime,DepartureTime
Khayaban e Iqbal,08:16:00,08:16:20
Sumbal Road,08:18:35,08:18:55
G10/G11,08:21:25,08:21:45
Sunday Bazar,08:24:25,08:24:45
G-10 Metro Station,08:25:55,08:26:15
Police Foundation,08:28:35,08:28:55
Nust Metro Station,08:32:15,08:32:15
D-12,08:05:00,08:05:00
D-12 Markaz,08:06:10,08:06:30
IESCO D-12,08:07:50,08:08:10
D-12 Service Road,08:10:20,08:10:40
E-11/2 / FECHS / Islamabad International Hospite,08:13:10,08:13:30
Multy Stop/Islamabad Gardens,08:16:20,08:16:40
NPF Housing Society,08:18:10,08:18:30
Khayaban e Iqbal,08:21:00,08:21:20
Sumbal Road,08:23:35,08:23:55
G10/G11,08:26:25,08:26:45
Sunday Bazar,08:29:25,08:29:45
G-10 Metro Station,08:30:55,08:31:15
Police Foundation,08:33:35,08:33:55
Nust Metro Station,08:37:15,08:37:15
D-12,08:10:00,08:10:00
D-12 Markaz,08:11:10,08:11:30
IESCO D-12,08:12:50,08:13:10
D-12 Service Road,08:15:20,08:15:40
E-11/2 / FECHS / Islamabad International Hospite,08:18:10,08:18:30
Multy Stop/Islamabad Gardens,08:21:20,08:21:40
NPF Housing Society,08:23:10,08:23:30
Khayaban e Iqbal,08:26:00,08:26:20
Sumbal Road,08:28:35,08:28:55
G10/G11,08:31:25,08:31:45
Sunday Bazar,08:34:25,08:34:45
G-10 Metro Station,08:35:55,08:36:15
Police Foundation,08:38:35,08:38:55
Nust Metro Station,08:42:15,08:42:15
D-12,08:15:00,08:15:00
D-12 Markaz,08:16:10,08:16:30
IESCO D-12,08:17:50,08:18:10
D-12 Service Road,08:20:20,08:20:40
E-11/2 / FECHS / Islamabad International Hospite,08:23:10,08:23:30
Multy Stop/Islamabad Gardens,08:26:20,08:26:40
NPF Housing Society,08:28:10,08:28:30
Khayaban e Iqbal,08:31:00,08:31:20
Sumbal Road,08:33:35,08:33:55
G10/G11,08:36:25,08:36:45
Sunday Bazar,08:39:25,08:39:45
G-10 Metro Station,08:40:55,08:41:15
Police Foundation,08:43:35,08:43:55
Nust Metro Station,08:47:15,08:47:15
D-12,08:20:00,08:20:00
D-12 Markaz,08:21:10,08:21:30
IESCO D-12,08:22:50,08:23:10
D-12 Service Road,08:25:20,08:25:40
E-11/2 / FECHS / Islamabad International Hospite,08:28:10,08:28:30
Multy Stop/Islamabad Gardens,08:31:20,08:31:40
NPF Housing Society,08:33:10,08:33:30
Khayaban e Iqbal,08:36:00,08:36:20
Sumbal Road,08:38:35,08:38:55
G10/G11,08:41:25,08:41:45
Sunday Bazar,08:44:25,08:44:45
G-10 Metro Station,08:45:55,08:46:15
Police Foundation,08:48:35,08:48:55
Nust Metro Station,08:52:15,08:52:15
D-12,08:25:00,08:25:00
D-12 Markaz,08:26:10,08:26:30
IESCO D-12,08:27:50,08:28:10
D-12 Service Road,08:30:20,08:30:40
E-11/2 / FECHS / Islamabad International Hospite,08:33:10,08:33:30
Multy Stop/Islamabad Gardens,08:36:20,08:36:40
NPF Housing Society,08:38:10,08:38:30
Khayaban e Iqbal,08:41:00,08:41:20
Sumbal Road,08:43:35,08:43:55
G10/G11,08:46:25,08:46:45
Sunday Bazar,08:49:25,08:49:45
G-10 Metro Station,08:50:55,08:51:15
Police Foundation,08:53:35,08:53:55
Nust Metro Station,08:57:15,08:57:15
D-12,08:30:00,08:30:00
D-12 Markaz,08:31:10,08:31:30
IESCO D-12,08:32:50,08:33:10
D-12 Service Road,08:35:20,08:35:40
E-11/2 / FECHS / Islamabad International Hospite,08:38:10,08:38:30
Multy Stop/Islamabad Gardens,08:41:20,08:41:40
NPF Housing Society,08:43:10,08:43:30
Khayaban e Iqbal,08:46:00,08:46:20
Sumbal Road,08:48:35,08:48:55
G10/G11,08:51:25,08:51:45
Sunday Bazar,08:54:25,08:54:45
G-10 Metro Station,08:55:55,08:56:15
Police Foundation,08:58:35,08:58:55
Nust Metro Station,09:02:15,09:02:15
D-12,08:35:00,08:35:00
D-12 Markaz,08:36:10,08:36:30
IESCO D-12,08:37:50,08:38:10
D-12 Service Road,08:40:20,08:40:40
E-11/2 / FECHS / Islamabad International Hospite,08:43:10,08:43:30
Multy Stop/Islamabad Gardens,08:46:20,08:46:40
NPF Housing Society,08:48:10,08:48:30
Khayaban e Iqbal,08:51:00,08:51:20
Sumbal Road,08:53:35,08:53:55
G10/G11,08:56:25,08:56:45
Sunday Bazar,08:59:25,08:59:45
G-10 Metro Station,09:00:55,09:01:15
Police Foundation,09:03:35,09:03:55
Nust Metro Station,09:07:15,09:07:15
D-12,08:40:00,08:40:00
D-12 Markaz,08:41:10,08:41:30
IESCO D-12,08:42:50,08:43:10
D-12 Service Road,08:45:20,08:45:40
E-11/2 / FECHS / Islamabad International Hospite,08:48:10,08:48:30
Multy Stop/Islamabad Gardens,08:51:20,08:51:40
NPF Housing Society,08:53:10,08:53:30
Khayaban e Iqbal,08:56:00,08:56:20
Sumbal Road,08:58:35,08:58:55
G10/G11,09:01:25,09:01:45
Sunday Bazar,09:04:25,09:04:45
G-10 Metro Station,09:05:55,09:06:15
Police Foundation,09:08:35,09:08:55
Nust Metro Station,09:12:15,09:12:15
D-12,08:45:00,08:45:00
D-12 Markaz,08:46:10,08:46:30
IESCO D-12,08:47:50,08:48:10
D-12 Service Road,08:50:20,08:50:40
E-11/2 / FECHS / Islamabad International Hospite,08:53:10,08:53:30
Multy Stop/Islamabad Gardens,08:56:20,08:56:40
NPF Housing Society,08:58:10,08:58:30
Khayaban e Iqbal,09:01:00,09:01:20
Sumbal Road,09:03:35,09:03:55
G10/G11,09:06:25,09:06:45
Sunday Bazar,09:09:25,09:09:45
G-10 Metro Station,09:10:55,09:11:15
Police Foundation,09:13:35,09:13:55
Nust Metro Station,09:17:15,09:17:15
D-12,08:50:00,08:50:00
D-12 Markaz,08:51:10,08:51:30
IESCO D-12,08:52:50,08:53:10
D-12 Service Road,08:55:20,08:55:40
E-11/2 / FECHS / Islamabad International Hospite,08:58:10,08:58:30
Multy Stop/Islamabad Gardens,09:01:20,09:01:40
NPF Housing Society,09:03:10,09:03:30
Khayaban e Iqbal,09:06:00,09:06:20
Sumbal Road,09:08:35,09:08:55
G10/G11,09:11:25,09:11:45
Sunday Bazar,09:14:25,09:14:45
G-10 Metro Station,09:15:55,09:16:15
Police Foundation,09:18:35,09:18:55
Nust Metro Station,09:22:15,09:22:15
D-12,08:55:00,08:55:00
D-12 Markaz,08:56:10,08:56:30
IESCO D-12,08:57:50,08:58:10
D-12 Service Road,09:00:20,09:00:40
E-11/2 / FECHS / Islamabad International Hospite,09:03:10,09:03:30
Multy Stop/Islamabad Gardens,09:06:20,09:06:40
NPF Housing Society,09:08:10,09:08:30
Khayaban e Iqbal,09:11:00,09:11:20
Sumbal Road,09:13:35,09:13:55
G10/G11,09:16:25,09:16:45
Sunday Bazar,09:19:25,09:19:45
